	R [arcmin]	v [km/s]
       11.880000       1040.5601
       17.620001       1242.8800
       5.9299998       1356.1503
       15.650000       1147.2342
       9.1899996       1457.6710
       6.7100000       1363.3650
       9.4700003       1355.8411
       11.130000       1406.5500
       6.6700001       877.92080
       9.4799995       1220.4115
       9.2799997       1095.1855
       6.9400001       792.37543
       7.4899998       912.96348
       7.0999999       910.90215
       6.8899999       1301.7311
       7.6700001       1189.1823
       7.2600002       959.13736
       10.750000       1027.8829
       8.6400003       1079.9316
       9.5000000       1291.3214
       9.4899998       944.91416
       9.3000002       1144.7605
       10.460000       930.48482
       15.860000       1072.7169
       11.910000       1028.9135
       14.050000       1343.6793
       12.240000       1387.1734
       16.990000       1253.5990
       12.190000       1056.7415
       17.059999       1103.1216
       14.540000       1070.8616
       24.020000       1252.6713
       13.100000       1214.5367
       18.680000       679.72353
       10.620000       805.56796
       2.7700000       1345.8437
       1.2400000       381.13925
       3.8699999       1006.7542
       1.5100000       618.19269
      0.56999999       1009.8462
       3.1300001       910.90215
       1.4000000       1173.7223
      0.69000000       1186.0903
       1.3400000       1075.8089
       2.0500000       684.15538
       1.4900000       1107.7596
       1.0800000       953.98402
       2.2200000       1610.7251
       1.6000000       828.55182
      0.98000002       1326.2610
       1.1300000       1025.3062
       1.7800000       1045.9195
       1.8500000       1001.6009
      0.85000002       1118.0662
       3.0200000       997.47818
       1.9900000       1331.4143
       2.1700001       1279.8810
       1.7000000       1477.9751
       1.4600000       1272.6663
      0.97000003       843.90879
       2.5799999       937.69949
       1.6400000       848.75293
       2.0599999       889.25814
       1.5400000       788.25276
       1.9299999       864.52213
       1.4500000       901.62614
       1.6000000       790.31410
       1.0500000       912.96348
       1.2200000       963.98150
       3.5699999       941.82216
      0.50000000       1091.2689
      0.41000000       1195.3663
       2.9800000       1469.5237
       1.1700000       1139.7102
       1.0700001       1111.8822
      0.49000001       1026.3369
       1.6900001       750.11808
      0.69999999       1112.0883
       1.3000000       1069.6249
      0.94000000       953.15950
      0.88999999       536.76999
       3.0599999       1607.6331
       1.4500000       730.53540
       1.6300000       1108.7902
       1.6200000       1279.8810
       3.2200000       736.71941
       1.0900000       1178.8756
      0.91000003       698.58472
       1.2700000       823.29544
       1.3200001       1499.4131
       1.6300000       1157.2316
      0.75999999       1459.2170
      0.81000000       1228.3476
       1.9299999       1019.1222
       2.0000000       1092.2996
       3.5300000       1131.4649
       1.3000000       1471.5851
       1.5800000       1332.4450
      0.52999997       1662.2585
       3.1700001       1181.9676
      0.81999999       997.47818
       2.2100000       1238.6543
       3.1500001       1435.7178
       2.8399999       734.65807
       2.7300000       900.59548
       1.1000000       2332.1921
      0.37000000       1096.4222
       5.0799999       1340.6903
       1.5400000       1719.9758
       1.3099999       567.69000
       3.9000001       856.27679
      0.94999999       438.85661
       4.0599999       1431.3890
       1.9500000       878.95147
      0.62000000       1064.4715
      0.79000002       1239.6850
       1.0599999       1042.8275
       1.2000000       868.64480
       1.7400000       1588.0504
      0.94000000       676.94071
       1.3500000       924.30082
       4.1599998       1290.1876
       12.130000       42.049774
       19.660000       42.049774
       21.080000       282.50440
       20.580000       160.57649
       15.110000       264.36468
       10.520000       41.019107
       17.690001      -38.342260
       12.490000       244.36972
       13.640000       282.71054
       18.700001       63.796849
       11.250000       260.44813
       16.469999       76.061789
       10.780000       22.467099
       25.150000       211.69759
       15.550000       82.245791
       8.7399998       149.23915
       20.709999       35.865771
       16.040001       140.68461
       15.140000       253.85187
       18.920000       212.10985
       12.760000       293.53255
       7.0000000      -120.79563
       14.490000      -77.610676
       7.3800001       282.19521
       20.450001       78.123123
       6.4800000      -137.28630
       17.590000       176.44876
       8.6800003     -0.20757736
       6.4699998       194.58851
       13.820000       86.368460
       19.200001       89.460461
       17.670000       93.583130
       11.050000       96.881261
       16.590000       138.93248
       4.6900001       18.344431
       6.5599999       201.80318
       5.3699999       72.969787
       14.180000      -18.759585
       8.0900002       74.000455
       6.2500000       263.02480
       15.690000       136.87115
       17.379999       282.19521
       19.440001       279.10321
       15.890000       121.41114
       17.190001       46.172443
       16.520000       269.41494
       4.2500000      -17.213585
       13.540000      -43.495596
       7.2300000       265.60146
       21.490000       150.26982
       5.4099998       88.429794
       10.750000      -22.882254
       5.5700002       290.44055
       15.470000       151.19741
       8.7299995       285.28721
       16.580000       240.65932
       14.430000       302.19015
       14.810000       358.46458
       6.0999999       160.57649
       5.0599999      -23.088387
       11.110000       357.43391
       17.690001       194.58851
       9.5299997      -4.9486465
       17.180000       18.035231
       23.950001       124.50314
       5.1700001      -30.096924
       12.310000       338.88190
       14.540000       318.26856
       13.380000       11.129761
       9.7100000       100.38553
       11.000000       186.34317
       19.809999       244.88505
       9.8500004       137.90182
       11.100000       187.78610
       7.6900001       102.85913
       3.8800001      -54.832934
       9.3699999       12.160428
       17.340000      -61.016937
       16.459999       100.48860
       3.7900000       27.620435
       17.290001       51.531908
       6.1399999       239.73173
       12.410000       108.01247
       16.770000       124.50314
       15.680000       283.22588
       15.050000       216.23252
       6.4600000       123.47248
       18.230000       182.01437
       18.389999       204.89518
       6.0100002       234.78452
       17.830000      -47.618264
       7.2199998       233.23852
       18.959999       45.141775
       19.440001       81.215124
       18.129999       31.743103
       6.1700001       67.816452
       6.1300001       53.387112
       15.560000       220.35518
       15.050000       208.29638
       6.8000002       256.42853
       13.210000       139.96315
       7.1599998       78.638457
       8.3000002       43.080441
       15.570000       10.099094
       7.7300000       361.55658
       17.150000       120.38047
       7.7700000       193.55784
       18.910000       139.34474
       7.8499999      -62.047604
       11.330000       261.99413
       14.880000       118.31914
       8.3100004       124.50314
       11.520000       25.559100
       18.680000       204.07064
       14.880000      -22.882254
       12.410000       155.62929
       22.170000       188.40450
       12.590000      -43.495596
       9.1700001       178.09783
       9.2700005       111.10447
       14.380000       293.53255
       10.320000       394.53793
       10.020000      -52.462401
       13.050000       261.37572
       17.389999       75.031122
       17.740000       214.06811
       18.049999       268.17813
       19.520000       220.35518
       12.770000       252.71812
       10.900000       201.08171
       20.070000       123.47248
       14.400000       252.71812
       12.000000       256.84079
       18.410000       133.77915
       17.299999       261.58187
       14.520000       137.18035
       13.360000       70.908453
       17.889999       5.9764253
       19.480000       169.64637
       15.030000      -36.280926
       19.870001       47.203110
       15.640000       79.153790
       13.880000       268.07506
       13.500000       161.09183
       18.540001       272.71306
       13.910000       74.000455
       16.000000       275.70202
       18.090000       271.16706
       19.030001       148.20849
       19.389999       447.10195
       21.549999       424.42727
       16.570000       271.78547
       16.760000      -12.575583
       14.450000       278.27869
       20.790001       255.39787
       15.920000       120.38047
       22.459999       193.76397
       16.920000       180.98370
       18.580000       289.40988
       18.420000       246.12186
       16.070000       176.03650
       19.900000       129.65648
       16.160000       262.40639
       16.299999       255.81013
       16.410000       97.705798
       18.840000       261.78801
       20.219999       159.54582
       22.700001       264.88002
       17.450001       71.939120
       14.280000      -57.924935
       18.110001      -30.096924
       15.770000       186.44624
       13.310000       205.92584
       19.290001       388.35392
       15.430000       109.04314
       13.830000       224.47785
       15.970000      -170.26765
       12.880000       5.9764253
       18.730000       287.14240
       19.709999       252.71812
       12.620000       57.509781
       20.180000       131.20248
       17.139999       270.54868
       20.860001       16.283096
       12.490000       4.9457582
       19.100000       47.203110
       16.049999       300.74722
       11.420000       264.15854
       11.250000       263.64320
       14.330000       217.26318
       20.629999      -15.667584
       4.6399999      -75.446276
       6.0000000      -263.02769
       5.9600000      -108.42762
       34.560457       1027.8159
       32.095648       939.68439
       32.944897       1096.5411
       27.190175       1476.8341
       25.684566       1409.5465
       20.219878       827.87665
       20.500061       905.88800
       18.630102       1293.2872
       18.365550       1288.3591
       16.522160       1197.1178
       27.928463       1115.8353
       18.327671       731.93665
       34.661833       1117.3682
       14.186187       888.37109
       13.904656       1153.2938
       12.472347       1154.4727
       12.874558       936.99475
       11.970596       991.39532
       30.597007       799.74921
       10.294680       853.34344
       25.548510       1148.7593
       7.0385525       1273.5964
       6.3261351       880.97943
       15.675503       1294.3212
       5.3593742       1268.8134
       10.541666       1287.2985
       14.897090       1036.2096
       3.1735045       964.39124
       5.1733178       1182.5212
       3.8299920       812.38116
       5.0127534       1072.6686
       2.8385854       1176.1360
       6.5860679       604.33179
       1.6791432       1125.9545
       3.6893916       933.03571
       1.7306960       1171.1447
       1.5294878       1041.9189
       6.2961177       1187.5760
       8.9224788       1123.5684
       1.9440715       1065.6099
       2.0455180       912.56659
       1.2489552       1084.8409
       8.3794687       808.06140
       3.1984165       1244.1603
       1.4726679       951.27051
       4.1342435       941.74756
       8.1607498       996.74030
       1.5314562       961.97174
       12.810142       991.14520
       20.757222       1199.6997
       23.322136       1153.0737
       15.868856       1107.6451
       2.3851852       1179.8868
       1.0475349       1089.8097
       1.2973215       916.30682
       7.3098850       1015.7750
       2.0699942       989.45984
       2.3447332       1206.0066
       2.3505691       2396.7661
       2.7933046       1242.0995
       3.1511807       894.53687
       21.037969       1020.0615
       4.0905058       930.70605
       4.0887272       1151.4872
       11.788522       1206.7677
       11.852808       955.44330
       5.8620750       756.93359
       8.2950909       905.72870
       5.7529858       752.33032
       10.523192       901.78552
       6.2959906       1159.3334
       5.7500967       696.91803
       7.7658642       1330.8285
       9.5927851       1211.2937
       7.6877610       1479.4237
       15.265941       1165.4423
       27.498827       1176.0635
       37.077322       1293.8079
       16.529270       1365.2316
       14.711335       1194.5851
       15.623425       776.37354
       18.394926       690.63605
       17.816544       1149.8085
       23.484963       1086.2521
       20.458615       1278.9637
       20.404583       1015.4115
       21.029337       932.02600
       24.146806       1049.0198
       33.750468       1168.0735
       32.087865       1131.1667
       25.778072       1274.6134
       32.569439       1251.1217
       39.900060       188.52266
       40.029196      -40.843735
       39.339071       194.12917
       39.725567      -43.577797
       38.433274      -73.849701
       37.974788      -48.748516
       37.194969      -24.398567
       36.599476       99.077110
       35.200462       11.882788
       34.830230       173.03450
       35.221857      -6.5470214
       38.621647      -28.589935
       35.690322       177.85280
       37.472583      -13.809319
       35.185800       60.783764
       33.293939      -1.8302536
       37.460000      -39.489285
       35.256437       71.854996
       35.562612      -14.780957
       37.095918      -2.5364928
       33.814977       175.51398
       32.902008      -111.76662
       31.775821      -10.378201
       36.072840       54.533398
       31.552031       34.290985
       35.050089       142.40913
       33.877319       50.242077
       31.844499       17.541876
       30.751662       62.859028
       30.021079       139.24446
       29.315247       505.41345
       35.715336       156.56825
       28.644832      -22.979630
       30.639526       78.770905
       31.286246       345.81958
       31.545038       112.27357
       28.414736       238.86429
       29.077974       168.46004
       28.042467       181.92097
       29.035208       57.494568
       29.895992       62.024887
       27.953130      -5.8464098
       37.056117       299.76224
       32.762489       43.980404
       33.094842       3.7033749
       28.497003       239.26202
       27.133971       189.88936
